Product,price,description,user_id,quantity ,image
Strawberry,2.78,"A unique fruit, the seeds grow around the outside of the fruit rather than inside it. Comes in many different sizes, colours and shapes, ranging from cone-like, to oval, or heart-shaped. Best to eat on their own or with natural yoghurt. Use strawberries in desserts, fruit salads, preserves, or in milkshakes.",3,26,http://www.asuntospublicos.org/upload/2017/12/21/the-gallery-for-simple-fruit-bowl-painting-fruit-bowl-paintings-l-d1f74fb586adeb14.jpg
Watermelon ,5.00,"The high water content of watermelons means that they are low in calories. They contain some vitamins B and C. Watermelon is excellent juiced, chopped up into a fruit salad, or just eaten in chunky slices.",3,43,http://www.asuntospublicos.org/upload/2017/12/21/the-gallery-for-simple-fruit-bowl-painting-fruit-bowl-paintings-l-d1f74fb586adeb14.jpg
Tamarillo,1.65,"these are related to tomatoes and sometimes called ""tree tomatoes."" They are the size of an egg tomato, with dark red skin. The fruit has a strong, sweet flavour that makes it suitable for both sweet or savoury dishes. It can also be used in jams, chutneys, and sorbets.",3,12,http://www.asuntospublicos.org/upload/2017/12/21/the-gallery-for-simple-fruit-bowl-painting-fruit-bowl-paintings-l-d1f74fb586adeb14.jpg
Rambutan,3.40,"The rambutan fruit grows in clusters, with a deep crimson outer skin. The flesh is translucent, and the pale seed is edible when young. Related to lychees and are sometimes known as ""hairy lychees"".(about 5cm / 2inches in diameter) and look quite different but have a similar texture. They can be added to salads, made into jams or jellies, but they are best eaten on their own.",3,4,http://www.asuntospublicos.org/upload/2017/12/21/the-gallery-for-simple-fruit-bowl-painting-fruit-bowl-paintings-l-d1f74fb586adeb14.jpg
Peach,2.25,"Or pawpaw, a large tropical fruit whose ripe flesh can be juicy, creamy, orange-red, or yellow. In the centre is a mass of large peppery black seeds, which are edible and sometimes crushed and used as a spice. Ripe papaya is eaten as a breakfast fruit or as a dessert. It can also be pureed for ice cream, sorbets and iced drinks.",3,9,http://www.asuntospublicos.org/upload/2017/12/21/the-gallery-for-simple-fruit-bowl-painting-fruit-bowl-paintings-l-d1f74fb586adeb14.jpg
Fig,0.50,"Figs are oval or pear-shaped and can be eaten fresh or dried. They are well known for their laxative and digestive properties. Their high, natural sugar content makes them the sweetest of all fruits. The flavour varies, depending on where they were grown and how ripe they are.",4,24,http://www.asuntospublicos.org/upload/2017/12/21/the-gallery-for-simple-fruit-bowl-painting-fruit-bowl-paintings-l-d1f74fb586adeb14.jpg
Lime,0.25,"Limes are only green because they are picked unripe but if left to ripen they turn yellow. Limes can be used like lemons but as juice, it is more acidic, so usually less is needed. To make the juice flow more, you can microwave the limes for 2-3 seconds before squeezing. Mostly used in drinks (lime cordials) and cooking.",4,65,http://www.asuntospublicos.org/upload/2017/12/21/the-gallery-for-simple-fruit-bowl-painting-fruit-bowl-paintings-l-d1f74fb586adeb14.jpg
Passionfruit,3.00,"The most popular variety is the purple passionfruit about the size of a chicken egg. It has a highly fragrant, sweet, but slightly tart, tasting fruit that can be spooned out and eaten fresh or added to fruit salad, pavlova, and it makes a very popular drink, ice cream and sorbets and a flavouring for all kinds of desserts.",4,43,http://www.asuntospublicos.org/upload/2017/12/21/the-gallery-for-simple-fruit-bowl-painting-fruit-bowl-paintings-l-d1f74fb586adeb14.jpg
Nectarine,1.25,"The nectarine flesh is rich, sweet and juicy and is well suited for eating fresh and for using in ice cream, pies and fruit salads. Colour ranges from silvery white or yellowy orange to pinkish red. The white-fleshed varieties are considered the best and usually the most expensive. Nectarines are often described as a cross between a peach and a plum, but nectarines are actually a variety of smooth-skinned peach.",4,3,http://www.asuntospublicos.org/upload/2017/12/21/the-gallery-for-simple-fruit-bowl-painting-fruit-bowl-paintings-l-d1f74fb586adeb14.jpg
Mangosteen,1.15,"Contrary to its name, the mangosteen doesn't resemble or taste like the mango. It resemble an apple, having a short stem and four thick leaf-like bracts which form a rosette encasing the brownish-purple fruit.",4,7,http://www.asuntospublicos.org/upload/2017/12/21/the-gallery-for-simple-fruit-bowl-painting-fruit-bowl-paintings-l-d1f74fb586adeb14.jpg
